Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,4.725650581717491,0.4529230910539627,1.0047142779827118,0.6310769450664521
2,0.6992286387085914,0.7561538606882096,0.5375447037816048,0.846461547613144
3,0.408628693446517,0.8821538531780243,0.3898314508795738,0.8984615445137024
4,0.26613862793892623,0.9304615426063537,0.30121130496263504,0.9246153891086578
5,0.22282430659979582,0.9426153880357743,0.28833133637905123,0.9243076968193055
6,0.2090739918127656,0.9503076952695847,0.24350799210369586,0.9400000035762787
7,0.18654081877321005,0.9569230794906616,0.21520875945687293,0.9452307724952698
8,0.15572602286934853,0.9649230790138245,0.2372846281528473,0.9464615416526795
9,0.14845111823640764,0.9650769251585006,0.18557174531742932,0.9590769255161286
10,0.13626055139116944,0.9689230787754058,0.20686341889202595,0.9523076951503754
11,0.13068417744711042,0.9696923094987869,0.19859818197786808,0.9575384640693665
12,0.13221559169702232,0.9678461557626724,0.15946652844548226,0.9640000021457672
13,0.10334148818627,0.9763076937198639,0.17547906370833516,0.9640000021457672
14,0.10483169911429285,0.9783076936006546,0.14565245092846454,0.9701538479328156
15,0.1062220800970681,0.9764615398645401,0.1750785544887185,0.964615386724472
16,0.11137172376271337,0.975692309141159,0.19110005516558887,0.955692310333252
17,0.09825693106278777,0.9755384629964828,0.16058702904731034,0.959384617805481
18,0.10953777126036585,0.9786153858900071,0.17870079692453145,0.9618461561203003
19,0.09603682890534401,0.9796923089027405,0.13211340613663197,0.9753846168518067
20,0.09732861866708845,0.9753846168518067,0.19224404755979776,0.9609230792522431
21,0.06006895384984091,0.9878461545705796,0.09547609725967049,0.9824615395069123
22,0.06503433099482209,0.9881538468599319,0.10525488772429525,0.9787692320346832
23,0.05769370657624677,0.990461539030075,0.13356519962195307,0.9796923089027405
24,0.051814331165514885,0.990461539030075,0.1299213637318462,0.9772307705879212
25,0.04912158728868235,0.9895384621620178,0.09773727541789412,0.981538462638855
26,0.04436731421155855,0.9907692313194275,0.10309989868663251,0.9818461549282074
27,0.04188044731854461,0.9913846158981323,0.1293369155470282,0.9769230782985687
28,0.04208159415284172,0.9901538467407227,0.12181596789043397,0.9747692322731019
29,0.05004408199107274,0.9893846160173416,0.1250835771858692,0.9787692320346832
30,0.05135311933234334,0.988923077583313,0.1387357404269278,0.9673846173286438
31,0.046997597196605054,0.9895384621620178,0.09765456086024642,0.9800000011920929
32,0.0491257698694244,0.9892307698726654,0.16345975160598755,0.9624615406990051
33,0.06569153290241957,0.9856923085451126,0.10614971905946731,0.981538462638855
34,0.039822585482615976,0.9903076928853989,0.11489497585222125,0.9723076939582824
35,0.06138441624119878,0.986769231557846,0.13983505114912986,0.9720000016689301
36,0.04342600433039479,0.9893846160173416,0.1405209131538868,0.9680000019073486
37,0.061069312253966924,0.9843076932430267,0.12997139549348502,0.9775384628772735
38,0.07228824860416352,0.9827692317962646,0.14783565513789654,0.9664615404605865
39,0.07178115359973163,0.9840000009536743,0.144904033979401,0.9723076939582824
40,0.06643551851273514,0.985230770111084,0.15402919879183175,0.9707692325115204
41,0.043977831264492125,0.9910769236087799,0.1229065184853971,0.9760000014305115
42,0.03300109775911551,0.9944615387916564,0.11752110955305398,0.9806153857707978
43,0.03007710938632954,0.9929230773448944,0.11676891288952902,0.9821538472175598
44,0.03848503935849294,0.9921538466215134,0.12225661974400281,0.9769230782985687
45,0.028790387155604547,0.9944615387916564,0.09381099721416832,0.9812307703495026
46,0.032773256716900505,0.9940000003576279,0.09868231383152307,0.9821538472175598
47,0.026668622243450953,0.9936923080682755,0.09555759200826287,0.981538462638855
48,0.021419305615709164,0.9947692310810089,0.11560527748893946,0.9790769243240356
49,0.03193721594288945,0.9938461542129516,0.09504650378134101,0.9849230778217316
50,0.0206131887860829,0.9938461542129516,0.12032539376057684,0.9766153860092163
